service_no,service_name,subscription_type,category
S0001,VMware Workspace ONE PoC サービス,非サブスクリプション,
S0002,Ambient Office Active Directory with ThreatSTOP,非サブスクリプション,
S0003,Ambient Office Active Directory ドメインコントローラーリプレースサービス,非サブスクリプション,
S0004,Ambient Office Exchange Online 予定表移行サービス,非サブスクリプション,
S0005,Ambient Office Live Support for Azure,サブスクリプション,
S0006,Ambient Office Live Support for Dynamics 365,サブスクリプション,
S0007,Ambient Office Live Support for EMS,サブスクリプション,
S0008,Ambient Office Live Support for Exchange,サブスクリプション,
S0009,Ambient Office Live Support for Office 365,サブスクリプション,
S0010,Ambient Office Live Support for SharePoint,サブスクリプション,
S0012,Ambient Office SharePoint de Portal,非サブスクリプション,
S0013,Ambient Office Skype for Business 外線発着信サービス,非サブスクリプション,
S0014,Ambient Office TerasTrust,サブスクリプション,
S0015,Ambient Office Windows 10 アドバイザリーサービス,非サブスクリプション,
S0016,Ambient Office Windows 10 導入・移行サービス,非サブスクリプション,
S0018,Ambient Office クラウドメール移行サービス,非サブスクリプション,
S0019,metis セキュアファイル便 for SharePoint Online,サブスクリプション,
S0020,Ambient Office パイプライン管理ソリューション,非サブスクリプション,
S0021,Ambient Office 保険数理計算 HPC Azure トライアルサービス,非サブスクリプション,
S0022,Azure Lift & Shift 適合性アセスメントサービス,非サブスクリプション,
S0023,Azure Site Recovery 災害対策ソリューション,非サブスクリプション,
S0024,Citrix Cloud PoC 環境構築サービス,非サブスクリプション,
S0025,Cloudera on Azure for ビッグデータ PoC,非サブスクリプション,
S0026,Content Box サービス for Microsoft 365,サブスクリプション,
S0027,Data Planet for AWS,非サブスクリプション,
S0028,Dell EMC VxRail E560 シリーズ Backup & DR ソリューション,非サブスクリプション,
S0029,Dynamics 365 PoC環境構築サービス,非サブスクリプション,
S0030,Dynamics CRM カスタマーポータル,非サブスクリプション,
S0031,Dynamics CRM ポータルソリューションテンプレート,非サブスクリプション,
S0032,Exchange Online Factory,非サブスクリプション,
S0033,Form-Waks（Form-WritingAutoKeySignal）サービス,非サブスクリプション,
S0034,HPE SimpliVity 380 Backup & DR ソリューション,非サブスクリプション,
S0035,ID Link for Dynamics CRM Online @Azure,非サブスクリプション,
S0036,ITIL Foundation 認定資格トレーニングコース,非サブスクリプション,
S0037,IT診断サービス,非サブスクリプション,
S0038,JBS エンゲージメントポータル with 代理店,非サブスクリプション,
S0039,Managed Endpoint,サブスクリプション,
S0040,Microsoft Azure Stack トータルソリューション,非サブスクリプション,
S0041,Microsoft Azureクラウドファイルサーバー,非サブスクリプション,
S0042,Microsoft Dynamics AX 10日間速習プログラム,非サブスクリプション,
S0043,Microsoft Dynamics AX 短期導入支援サービス,非サブスクリプション,
S0044,Microsoft Dynamics NAV on Azure,非サブスクリプション,
S0045,Microsoft HoloLens 導入支援サービス,非サブスクリプション,
S0046,Microsoft Office 365 生産性トレーニング,非サブスクリプション,
S0047,Microsoft Power BI ハンズオントレーニング,非サブスクリプション,
S0048,Microsoft Power BI 活用ワークショップ,非サブスクリプション,
S0049,Microsoft Surface Hub  活用トレーニング,非サブスクリプション,
S0050,Office 365 ProPlus 導入サービス,非サブスクリプション,
S0051,Office 365 運用代行サービス,サブスクリプション,
S0054,SAP on Azure 移行サービス,非サブスクリプション,
S0055,SAP システムベーシスソリューション,非サブスクリプション,
S0056,Service Resale 【Colt】ネットワークサービス,サブスクリプション,
S0057,Service Resale 【HPE】フレキシブルキャパシティ,サブスクリプション,
S0058,Service Resale 【IIJ】回線サービス,サブスクリプション,
S0059,Service Resale 【SoftBank】回線サービス,サブスクリプション,
S0060,Service Resale 【アルテリア】回線サービス,サブスクリプション,
S0061,Service Resale 【その他】回線サービス,サブスクリプション,
S0062,Surface Hub as a Service,サブスクリプション,
S0063,the MATRIX for AWS,サブスクリプション,
S0065,the MATRIX for CSP,サブスクリプション,
S0067,the MATRIX for RPA,サブスクリプション,
S0068,the MATRIX for マネージドシステムサービス,サブスクリプション,
S0069,VDI PoC ( 簡易検証 ) 環境構築サービス,非サブスクリプション,
S0070,VMware Horizon Cloud PoC 環境構築サービス,非サブスクリプション,
S0071,VMware NSX-T PoC 環境構築サービス,非サブスクリプション,
S0072,アプリケーションマネジメントアウトソーシング（AMO）サービス,非サブスクリプション,
S0073,クラウド PBX による電話通信サービス INNOVERA?＋JBS-mode,サブスクリプション,
S0074,クラウド PBX による電話通信サービス INNOVERA?＋JBS-mode（国際通話オプション）,サブスクリプション,
S0075,システム化構想・計画策定,非サブスクリプション,
S0076,スマートスタート for Exchange Online,非サブスクリプション,
S0077,データ分析基盤構築・活用サービス - Data for Insight -,非サブスクリプション,
S0078,ハンズオンラボ for WindowsAutopilot,非サブスクリプション,
S0079,マイクロソフト ハイブリッドクラウドプラットフォームトータルソリューション,非サブスクリプション,
S0080,マイナンバー 収集代行・管理サービス（オプション）,サブスクリプション,
S0081,マイナンバー 収集代行・管理サービス（基本サービス）,サブスクリプション,
S0082,マネージドシステムサービス for Azure,サブスクリプション,
S0085,マネージドシステムサービス システム保守 クラウドファイルサーバー,サブスクリプション,
